card_use_amt,crtr_ym,emd_cd,emd_nm,mbl_use_amt,mbl_user_cnt,par_ag,par_gend,stlm_amt,stlm_nocs,usage_rgn_cd
0,202106,41135106,이매동,38638074,392,01,M,38638074,392,41135
0,202106,41135107,야탑동,21512980,511,01,M,21512980,511,41135
0,202106,41135108,판교동,3425340,88,01,M,3425340,88,41135
0,202106,41135109,삼평동,12740200,164,01,M,12740200,164,41135
0,202106,41135110,백현동,11765600,111,01,M,11765600,111,41135
0,202107,41135101,분당동,1601500,43,01,M,1601500,43,41135
244780,202107,41135102,수내동,49747250,686,01,M,49992030,712,41135
264000,202107,41135103,정자동,70831401,994,01,M,71095401,1011,41135
132000,202107,41135105,서현동,57144850,885,01,M,57276850,891,41135
0,202107,41135106,이매동,30099130,373,01,M,30099130,373,41135
95900,202107,41135107,야탑동,14031490,441,01,M,14127390,447,41135
0,202107,41135108,판교동,2259380,66,01,M,2259380,66,41135
0,202107,41135109,삼평동,13526720,157,01,M,13526720,157,41135
258000,202107,41135110,백현동,11141600,109,01,M,11399600,119,41135
112400,202107,41135111,금곡동,14617800,136,01,M,14730200,144,41135
0,202108,41135101,분당동,846000,22,01,M,846000,22,41135
113000,202108,41135102,수내동,33922600,509,01,M,34035600,527,41135
481000,202108,41135103,정자동,56536000,687,01,M,57017000,734,41135
83000,202108,41135105,서현동,34735852,630,01,M,34818852,636,41135
0,202108,41135106,이매동,19110000,246,01,M,19110000,246,41135
17000,202108,41135107,야탑동,13177050,326,01,M,13194050,328,41135
0,202108,41135108,판교동,1301900,46,01,M,1301900,46,41135
0,202108,41135109,삼평동,11203600,120,01,M,11203600,120,41135
484300,202108,41135110,백현동,7716160,96,01,M,8200460,128,41135
12600,202108,41135111,금곡동,8074500,68,01,M,8087100,69,41135
0,202109,41135101,분당동,454940,36,01,M,454940,36,41135
26000,202109,41135102,수내동,12817760,518,01,M,12843760,524,41135
204100,202109,41135103,정자동,16311320,518,01,M,16515420,544,41135
0,202109,41135104,율동,224000,4,01,M,224000,4,41135
97600,202109,41135105,서현동,10001390,630,01,M,10098990,641,41135
0,202109,41135106,이매동,6637430,293,01,M,6637430,293,41135
61300,202109,41135107,야탑동,5469010,341,01,M,5530310,351,41135
0,202109,41135108,판교동,764190,50,01,M,764190,50,41135
0,202109,41135109,삼평동,4247100,169,01,M,4247100,169,41135
87900,202109,41135110,백현동,2258000,78,01,M,2345900,88,41135
0,202110,41135101,분당동,1289340,64,01,M,1289340,64,41135
262800,202110,41135102,수내동,39533980,709,01,M,39796780,737,41135
200600,202110,41135103,정자동,60500635,767,01,M,60701235,786,41135
98600,202110,41135105,서현동,29736340,760,01,M,29834940,781,41135
878000,202110,41135106,이매동,11166680,355,01,M,12044680,359,41135
115020,202110,41135107,야탑동,10562950,525,01,M,10677970,545,41135
0,202110,41135108,판교동,2771440,98,01,M,2771440,98,41135
0,202110,41135109,삼평동,5822100,187,01,M,5822100,187,41135
74600,202110,41135110,백현동,6548470,79,01,M,6623070,89,41135
103000,202110,41135111,금곡동,7283300,154,01,M,7386300,162,41135
0,202111,41135101,분당동,1535200,46,01,M,1535200,46,41135
191200,202111,41135102,수내동,57516360,704,01,M,57707560,720,41135
310000,202111,41135103,정자동,107752980,983,01,M,108062980,1004,41135
14400,202111,41135105,서현동,49281620,743,01,M,49296020,745,41135
16000,202111,41135106,이매동,39208370,461,01,M,39224370,463,41135
9600,202111,41135107,야탑동,20752810,552,01,M,20762410,559,41135
0,202111,41135108,판교동,2009000,59,01,M,2009000,59,41135
0,202111,41135109,삼평동,20127832,187,01,M,20127832,187,41135
443660,202111,41135110,백현동,8663100,105,01,M,9106760,127,41135
140300,202111,41135111,금곡동,8797300,116,01,M,8937600,129,41135
0,202112,41135101,분당동,1559680,53,01,M,1559680,53,41135
20000,202112,41135102,수내동,50028300,774,01,M,50048300,778,41135
109040,202112,41135103,정자동,74216950,865,01,M,74325990,878,41135
0,202112,41135105,서현동,36756306,873,01,M,36756306,873,41135
1274000,202112,41135106,이매동,17888600,330,01,M,19162600,340,41135
52850,202112,41135107,야탑동,17899360,531,01,M,17952210,542,41135
0,202112,41135108,판교동,3006700,84,01,M,3006700,84,41135
0,202112,41135109,삼평동,10528740,146,01,M,10528740,146,41135
458300,202112,41135110,백현동,3790550,92,01,M,4248850,117,41135
82500,202112,41135111,금곡동,4926300,82,01,M,5008800,85,41135
0,202201,41135101,분당동,1537850,32,01,M,1537850,32,41135
143000,202201,41135102,수내동,61576980,820,01,M,61719980,823,41135
519750,202201,41135103,정자동,102858438,1090,01,M,103378188,1133,41135
0,202201,41135104,율동,197900,4,01,M,197900,4,41135
44900,202201,41135105,서현동,44211182,727,01,M,44256082,730,41135
4000,202201,41135106,이매동,32884290,483,01,M,32888290,484,41135
79200,202201,41135107,야탑동,21181790,315,01,M,21260990,316,41135
0,202201,41135108,판교동,3604340,80,01,M,3604340,80,41135
0,202201,41135109,삼평동,10320800,137,01,M,10320800,137,41135
152350,202201,41135110,백현동,8346890,67,01,M,8499240,74,41135
0,202202,41135101,분당동,1748240,24,01,M,1748240,24,41135
420280,202202,41135102,수내동,58337630,833,01,M,58757910,840,41135
543600,202202,41135103,정자동,87585613,1151,01,M,88129213,1185,41135
0,202202,41135104,율동,105300,2,01,M,105300,2,41135
0,202202,41135105,서현동,41537094,749,01,M,41537094,749,41135
17000,202202,41135106,이매동,28908640,526,01,M,28925640,528,41135
6600,202202,41135107,야탑동,19232090,310,01,M,19238690,312,41135
0,202202,41135108,판교동,4468820,91,01,M,4468820,91,41135
