상권,종류,업종,10대,20대,30대,40대,50대,60대이상,남자,여자,성남상권
코끼리상가시장,전통,서비스업,0.1,1.0,5.2,52.9,27.6,13.2,40.6,59.4,수내 전통상권
코끼리상가시장,전통,소매업,0.2,0.8,4.8,38.6,29.6,26.0,43.3,56.7,수내 전통상권
돌고래시장,전통,음식업,0.1,1.2,6.4,23.6,32.3,36.4,38.5,61.5,수내 전통상권
돌고래시장,전통,서비스업,0.0,0.5,10.7,23.4,31.5,33.9,42.6,57.4,수내 전통상권
돌고래시장,전통,소매업,0.0,0.6,3.8,17.1,32.7,45.6,32.7,67.3,수내 전통상권
동신종합시장,전통,음식업,0.7,3.6,16.5,41.1,23.0,15.1,51.7,48.3,수내 전통상권
동신종합시장,전통,서비스업,0.4,2.6,4.9,54.2,26.5,11.4,47.9,52.1,수내 전통상권
동신종합시장,전통,소매업,0.3,2.3,4.1,24.1,30.5,38.7,38.0,62.0,수내 전통상권
현대프라자시장,전통,음식업,1.1,3.9,8.5,44.1,30.4,12.0,46.7,53.3,수내 전통상권
현대프라자시장,전통,서비스업,0.1,0.4,5.5,67.3,20.7,6.0,46.4,53.6,수내 전통상권
현대프라자시장,전통,소매업,0.8,3.4,5.9,37.7,23.2,29.0,48.1,51.9,수내 전통상권
현대시장(분당),전통,음식업,1.5,4.8,10.5,34.2,29.0,20.1,46.5,53.5,서현 전통상권
현대시장(분당),전통,서비스업,0.1,3.1,9.3,38.1,29.4,20.0,45.0,55.0,서현 전통상권
현대시장(분당),전통,소매업,2.2,6.3,9.0,23.6,23.5,35.5,51.3,48.7,서현 전통상권
분당우성시장,전통,음식업,1.2,4.8,9.4,32.2,31.1,21.3,48.5,51.5,서현 전통상권
분당우성시장,전통,서비스업,0.3,2.7,5.8,41.4,34.5,15.3,39.2,60.8,서현 전통상권
분당우성시장,전통,소매업,0.1,1.7,6.0,19.2,30.9,42.1,43.6,56.4,서현 전통상권
미래그린시장,전통,음식업,0.3,3.8,10.6,25.6,29.3,30.4,53.9,46.1,서현 전통상권
미래그린시장,전통,서비스업,0.4,1.7,15.0,53.2,16.3,13.5,43.9,56.1,서현 전통상권
미래그린시장,전통,소매업,0.2,2.7,7.7,19.4,27.9,42.2,43.6,56.4,서현 전통상권
미래타운제2종합시장,전통,음식업,0.1,3.3,9.8,24.0,30.0,32.8,54.4,45.6,서현 전통상권
미래타운제2종합시장,전통,서비스업,0.1,4.3,11.6,33.5,31.5,19.0,39.0,61.0,서현 전통상권
미래타운제2종합시장,전통,소매업,0.1,4.6,6.2,17.6,18.8,52.7,27.5,72.5,서현 전통상권
범한프라자시장,전통,음식업,,,,,,,,,서현 전통상권
범한프라자시장,전통,서비스업,,,,,,,,,서현 전통상권
범한프라자시장,전통,소매업,,,,,,,,,서현 전통상권
미금현대벤처빌시장,전통,음식업,,,,,,,,,미금현대벤처빌 상권
미금현대벤처빌시장,전통,서비스업,,,,,,,,,미금현대벤처빌 상권
미금현대벤처빌시장,전통,소매업,,,,,,,,,미금현대벤처빌 상권
