card_use_amt,crtr_ym,emd_cd,emd_nm,mbl_use_amt,mbl_user_cnt,par_ag,par_gend,stlm_amt,stlm_nocs,usage_rgn_cd
79800,202110,41131104,단대동,1340000,69,01,M,1419800,73,41131
0,202110,41131105,산성동,492500,31,01,M,492500,31,41131
20800,202110,41131106,양지동,1676450,88,01,M,1697250,90,41131
11900,202110,41131108,창곡동,13271660,234,01,M,13283560,236,41131
0,202110,41131109,신촌동,88000,2,01,M,88000,2,41131
0,202110,41131110,오야동,66700,11,01,M,66700,11,41131
1338790,202111,41131000,,77925570,2238,01,M,79264360,2347,41131
31900,202111,41131101,신흥동,7062560,127,01,M,7094460,135,41131
24100,202111,41131102,태평동,5944100,132,01,M,5968200,134,41131
81600,202111,41131103,수진동,407600,53,01,M,489200,63,41131
23800,202111,41131104,단대동,1443300,30,01,M,1467100,32,41131
0,202111,41131105,산성동,227200,23,01,M,227200,23,41131
0,202111,41131106,양지동,3383500,58,01,M,3383500,58,41131
0,202111,41131107,복정동,93600,6,01,M,93600,6,41131
0,202111,41131108,창곡동,29501680,331,01,M,29501680,331,41131
0,202111,41131110,오야동,62400,8,01,M,62400,8,41131
1363700,202112,41131000,,56965730,1814,01,M,58329430,1876,41131
8000,202112,41131101,신흥동,8015960,151,01,M,8023960,153,41131
6000,202112,41131102,태평동,4327000,124,01,M,4333000,125,41131
16100,202112,41131103,수진동,1177020,56,01,M,1193120,61,41131
0,202112,41131104,단대동,3543340,25,01,M,3543340,25,41131
0,202112,41131105,산성동,244490,16,01,M,244490,16,41131
11000,202112,41131106,양지동,1869360,51,01,M,1880360,55,41131
0,202112,41131107,복정동,12000,1,01,M,12000,1,41131
0,202112,41131108,창곡동,25794260,286,01,M,25794260,286,41131
0,202112,41131109,신촌동,57000,2,01,M,57000,2,41131
22200,202201,41131101,신흥동,6932980,87,01,M,6955180,89,41131
0,202201,41131102,태평동,3830260,83,01,M,3830260,83,41131
0,202201,41131103,수진동,3136640,62,01,M,3136640,62,41131
0,202201,41131104,단대동,2173530,21,01,M,2173530,21,41131
0,202201,41131105,산성동,297800,5,01,M,297800,5,41131
8500,202201,41131106,양지동,1300250,27,01,M,1308750,28,41131
0,202201,41131107,복정동,84760,7,01,M,84760,7,41131
32900,202201,41131108,창곡동,31201880,366,01,M,31234780,370,41131
